['day:', 0, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.447710918754506, 'laneEW:', 10.542514437757472, 'laneNS:', 9.055758414605007, 'laneSN:', 8.959701474489856, 'meanTime:', 9.75142131140171]
['day:', 0, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.553823641496013, 'laneEW:', 10.480348737420814, 'laneNS:', 9.615020182955002, 'laneSN:', 9.06598029497972, 'meanTime:', 9.928793214212888]
['day:', 1, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.573966998479573, 'laneEW:', 10.39029290539705, 'laneNS:', 9.102788817958459, 'laneSN:', 8.932829519392973, 'meanTime:', 9.749969560307013]
['day:', 1, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.593240545842287, 'laneEW:', 10.510638440202465, 'laneNS:', 9.33365418791314, 'laneSN:', 9.357903364100114, 'meanTime:', 9.948859134514501]
['day:', 2, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.459452132184493, 'laneEW:', 10.528007329296425, 'laneNS:', 9.012935684930266, 'laneSN:', 8.877266577645916, 'meanTime:', 9.719415431014275]
['day:', 2, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.588084709458046, 'laneEW:', 10.397083224534116, 'laneNS:', 8.724635357446646, 'laneSN:', 8.777127520452353, 'meanTime:', 9.62173270297279]
['day:', 3, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.595999265182963, 'laneEW:', 10.462182158179917, 'laneNS:', 9.372646795966155, 'laneSN:', 8.661221234526735, 'meanTime:', 9.773012363463943]
['day:', 3, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.582984108703698, 'laneEW:', 10.408688400718477, 'laneNS:', 8.852663675648614, 'laneSN:', 8.904255325040607, 'meanTime:', 9.687147877527849]
['day:', 4, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.54037030436578, 'laneEW:', 10.516659262196894, 'laneNS:', 8.728872998333896, 'laneSN:', 8.79945751129504, 'meanTime:', 9.646340019047903]
['day:', 4, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.455635457151494, 'laneEW:', 10.507486536931415, 'laneNS:', 9.110759274404078, 'laneSN:', 9.062063785186764, 'meanTime:', 9.783986263418438]
['day:', 5, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.251994378189481, 'laneEW:', 10.320884374030365, 'laneNS:', 8.73494512971297, 'laneSN:', 8.77519969997979, 'meanTime:', 9.520755895478153]
['day:', 5, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.505203019294065, 'laneEW:', 10.399234510446247, 'laneNS:', 9.441331149792292, 'laneSN:', 8.85904541572638, 'meanTime:', 9.801203523814745]
['day:', 6, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.514488021542984, 'laneEW:', 10.514045486946385, 'laneNS:', 9.009833579216076, 'laneSN:', 9.386008433157473, 'meanTime:', 9.85609388021573]
['day:', 6, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.375258258427367, 'laneEW:', 10.28104488875875, 'laneNS:', 8.846835949745921, 'laneSN:', 9.16903586392027, 'meanTime:', 9.668043740213077]
['day:', 7, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.507130655927027, 'laneEW:', 10.687649593577577, 'laneNS:', 8.857481734810738, 'laneSN:', 9.299134182148453, 'meanTime:', 9.83784904161595]
['day:', 7, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.432386685124333, 'laneEW:', 10.694061411057652, 'laneNS:', 9.450299402512329, 'laneSN:', 8.931010458547712, 'meanTime:', 9.876939489310507]
['day:', 8, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.389999691742315, 'laneEW:', 10.512240671736494, 'laneNS:', 8.914634754160566, 'laneSN:', 8.80529791470317, 'meanTime:', 9.655543258085636]
['day:', 8, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.551210152252429, 'laneEW:', 10.465934732824604, 'laneNS:', 9.179301653614631, 'laneSN:', 9.25776757210943, 'meanTime:', 9.863553527700272]
['day:', 9, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.462276075312143, 'laneEW:', 10.276768640823521, 'laneNS:', 9.09272201279781, 'laneSN:', 8.795831542194275, 'meanTime:', 9.656899567781938]
['day:', 9, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.48990960712871, 'laneEW:', 10.429541040004976, 'laneNS:', 9.082854136825874, 'laneSN:', 9.046708547703647, 'meanTime:', 9.762253332915801]
['day:', 10, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.41182731552955, 'laneEW:', 10.368505030755813, 'laneNS:', 8.838185470906824, 'laneSN:', 8.961189727957334, 'meanTime:', 9.64492688628738]
['day:', 10, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.479919469038743, 'laneEW:', 10.60490380169825, 'laneNS:', 9.327430131320835, 'laneSN:', 8.784961542980291, 'meanTime:', 9.799303736259528]
['day:', 11, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.420653338038381, 'laneEW:', 10.498558771485943, 'laneNS:', 8.523882794117483, 'laneSN:', 8.661075302474924, 'meanTime:', 9.526042551529184]
['day:', 11, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.465587380028005, 'laneEW:', 10.56307513628477, 'laneNS:', 8.93611561844503, 'laneSN:', 8.914989714302136, 'meanTime:', 9.719941962264985]
['day:', 12, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.483338999683905, 'laneEW:', 10.423349359161453, 'laneNS:', 9.086285419964087, 'laneSN:', 9.122158646150304, 'meanTime:', 9.778783106239937]
['day:', 12, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.681434552773972, 'laneEW:', 10.575290833584502, 'laneNS:', 9.04851164725649, 'laneSN:', 9.136477666834335, 'meanTime:', 9.860428675112324]
['day:', 13, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.35021485258874, 'laneEW:', 10.392158732249381, 'laneNS:', 8.879982774801851, 'laneSN:', 9.077570801929998, 'meanTime:', 9.674981790392494]
['day:', 13, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.536720375343373, 'laneEW:', 10.436027780064558, 'laneNS:', 8.55454369648883, 'laneSN:', 9.18259394294354, 'meanTime:', 9.677471448710076]
['day:', 14, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.596374980136572, 'laneEW:', 10.451001483248291, 'laneNS:', 9.33561205957267, 'laneSN:', 8.947014837041532, 'meanTime:', 9.832500839999767]
['day:', 14, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.498398186904344, 'laneEW:', 10.666848801868461, 'laneNS:', 9.232140980452668, 'laneSN:', 8.88648059848216, 'meanTime:', 9.820967141926909]
