['day:', 0, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.815768173493087, 'laneEW:', 10.943380291278416, 'laneNS:', 10.394790220351124, 'laneSN:', 9.927403089973652, 'meanTime:', 10.52033544377407]
['day:', 0, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 11.086491905459575, 'laneEW:', 11.112325150497535, 'laneNS:', 10.46750686409991, 'laneSN:', 9.671821262585475, 'meanTime:', 10.584536295660623]
['day:', 1, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 11.013390198130177, 'laneEW:', 10.885973853506243, 'laneNS:', 9.747664151092126, 'laneSN:', 10.068295895008104, 'meanTime:', 10.428831024434162]
['day:', 1, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.894199217422841, 'laneEW:', 10.841360883749495, 'laneNS:', 9.849620478826356, 'laneSN:', 9.917859604241222, 'meanTime:', 10.375760046059979]
['day:', 2, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.98943637490853, 'laneEW:', 10.991544776683392, 'laneNS:', 10.066620275625183, 'laneSN:', 9.85921325654709, 'meanTime:', 10.476703670941049]
['day:', 2, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 11.123710602259425, 'laneEW:', 10.79407844280014, 'laneNS:', 9.618178447566914, 'laneSN:', 9.610894321936332, 'meanTime:', 10.286715453640703]
['day:', 3, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.90140209057872, 'laneEW:', 10.833822358090138, 'laneNS:', 10.276823641483912, 'laneSN:', 9.979929918291884, 'meanTime:', 10.497994502111165]
['day:', 3, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.941762696199284, 'laneEW:', 10.749351449971805, 'laneNS:', 9.789454661726923, 'laneSN:', 9.707446805788045, 'meanTime:', 10.297003903421514]
['day:', 4, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 11.010697946951524, 'laneEW:', 10.969594056512834, 'laneNS:', 9.794271760664541, 'laneSN:', 10.073816549613483, 'meanTime:', 10.462095078435595]
['day:', 4, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.916091196063622, 'laneEW:', 10.905522548592462, 'laneNS:', 9.90532775758603, 'laneSN:', 9.77609288893797, 'meanTime:', 10.37575859779502]
['day:', 5, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.773966417086505, 'laneEW:', 11.06375490079537, 'laneNS:', 9.811678970066184, 'laneSN:', 9.631274607058593, 'meanTime:', 10.320168723751664]
['day:', 5, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 11.045782070513953, 'laneEW:', 10.766713939956913, 'laneNS:', 10.05559964855002, 'laneSN:', 9.859333119536881, 'meanTime:', 10.431857194639441]
['day:', 6, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.972552373714, 'laneEW:', 11.044030014195474, 'laneNS:', 9.788854977533752, 'laneSN:', 10.113144401636594, 'meanTime:', 10.479645441769955]
['day:', 6, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 10.856305519901778, 'laneEW:', 11.030854614649934, 'laneNS:', 9.608201190166445, 'laneSN:', 9.748956124563083, 'meanTime:', 10.31107936232031]
['day:', 7, 'Time:', 9, ':', 0, ':', 0, 'laneWE:', 10.929725567744448, 'laneEW:', 11.049098728200757, 'laneNS:', 10.041712076104359, 'laneSN:', 9.886753078017728, 'meanTime:', 10.476822362516822]
['day:', 7, 'Time:', 19, ':', 0, ':', 0, 'laneWE:', 11.069397628028439, 'laneEW:', 11.149715249940899, 'laneNS:', 9.753939543500705, 'laneSN:', 9.797070741364633, 'meanTime:', 10.44253079070867]
